ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
1016;822;1402-12-13;pe__berthold_han_StB_II_822;m;witness;;;;erbere lewte;;;;von Checzleinstorff;;;;;;;;;;;;;
1017;822;1402-12-13;pe__siegfried_StB_II_822;m;witness;;;;erbere lewte;;;amtmann;von Checzleinstorff;;;;;;;;;;;;;
1018;822;1402-12-13;pe__johann_gair_StB_II_822;m;witness;;;;erbere lewte;;;;von Checzleinstorff;;;;;;;;;;;;;
1019;822;1402-12-13;pe__dietrich_pasman_StB_II_822;m;gewiesen;;;;;;;;von Checzleinstorff;;;;;;;;;;;;;
1020;825;1402-12-19;pe__anna_chupergerin_StB_II_825;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1021;825;1402-12-19;pe__niklas_chuperger_StB_II_825;m;weisend/other;;;;;;;;von Medlich;;;;;;;;;;;;;
1022;825;1402-12-19;pe__konrad_von_schotten_StB_II_825;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1023;825;1402-12-19;pe__otto_schuster_StB_II_825;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1024;825;1402-12-19;pe__katharina_purkchstalerin_StB_II_825;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1025;825;1402-12-19;pe__ruediger_purkchstaler_StB_II_825;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1026;826;1402-12-19;pe__niklas_valich_StB_I_586;m;weisend;;;;;;;rat_rat-wien;;;;;;;;;;;;;;
1027;826;1402-12-19;pe__pilgrim_drischler_StB_II_826;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
1028;826;1402-12-19;pe__ruediger_gulher_StB_II_826;m;witness;;;;erbere lewte;lederer;;;;;;QGW Uhlirz 521;;;;;;;;;;
1029;826;1402-12-19;pe__heinrich_scheczl_StB_II_826;m;gewiesen/other;dead;;;;vyscher;;;;;;;;;;;;;;;;
1030;826;1402-12-19;pe__johann_scheczl_StB_II_826;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1031;826;1402-12-19;pe__anna_scheczlin_StB_II_826;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1032;826;1402-12-19;pe__johann_trawtmann_StB_I_396;m;gewiesen;dead;;;;lederer;;;;;;;;;;;;;;;;
1033;827;1403-01-09;pe__yrnfried_aichperger_StB_II_827;m;weisend;;;;;;;;;;;;;;;;;;;;;
1034;827;1403-01-09;pe__niklas_wagrayn_StB_II_827;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1035;827;1403-01-09;pe__michael_wagrayn_StB_II_827;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1036;827;1403-01-09;pe__gattin_dietrich_chechzleinstorff_StB_II_827;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1037;827;1403-01-09;pe__dietrich_checzleinstorff_StB_II_827;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1038;830;1403-01-16;pe__gertrud_pepplerin_StB_II_830;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1039;830;1403-01-16;pe__pernold_peppler_StB_II_830;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
1040;830;1403-01-16;pe__konrad_bei_dem_brunnen_StB_II_830;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1041;830;1403-01-16;pe__konrad_von_asparn_StB_II_830;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1042;830;1403-01-16;pe__johann_gruber_StB_II_830;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1043;830;1403-01-16;pe__michael_peppler_StB_II_830;m;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
1044;830;1403-01-16;pe__konrad_peppler_StB_II_830;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1045;830;1403-01-16;pe__katharina_pepplerin_StB_II_830;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1046;831;1403-01-16;pe__thomas_schuster_StB_II_831;m;weisend;;;;;;;;von Egenburg;;;;;;;;;;;;;
1047;831;1403-01-16;pe__michael_pirychfelder_StB_II_831;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1048;831;1403-01-16;pe__johann_gesmyd_StB_II_831;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1049;831;1403-01-16;pe__katharina_schusterin_StB_II_831;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1050;831;1403-01-16;pe__wolfhard_auf_der_newn_melgrub_StB_II_831;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1051;834;1403-01-22;pe__elisabeth_hagenin_StB_II_834;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1052;834;1403-01-22;pe__jakob_hagen_StB_II_834;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1053;834;1403-01-22;pe__niklas_lederpekch_StB_II_834;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1054;834;1403-01-22;pe__johann_vom_chotweig_StB_II_834;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1055;834;1403-01-22;pe__niklas_trager_StB_II_834;m;witness;;;;erbere lewte;;;;in der Katerlukchen;;;;;;;;;;;;;
1056;834;1403-01-22;pe__katharina_trawtmannin_StB_II_834;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1057;834;1403-01-22;pe__johann_trawtmann_StB_I_396;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1058;835;1403-01-22;pe__gottfried_weysman_StB_II_835;m;weisend;;;;;;;;;;;;;;;;;;;;;
1059;835;1403-01-22;pe__leb_vlakchner_StB_II_835;m;witness;;;;erbere lewte;;valkchner;;;herczog Wilhelm;;;;;;;;;;;;
1060;835;1403-01-22;pe__andreas_pehaim_StB_II_835;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1061;835;1403-01-22;pe__elisabeth_ledererin_StB_II_835;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1062;835;1403-01-22;pe__paul_lederer_StB_II_835;m;gewiesen/other;;;;;;;;von Lentpach;;;;;;;;;;;;;
1063;835;1403-01-22;pe__anna_dawherrin_StB_II_835;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1064;835;1403-01-22;pe__katharina_trawtmannin_StB_II_834;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1065;835;1403-01-22;pe__johann_lederer_StB_II_835;m;gewiesen/other;;;;;;;;von Newnburg;;;;;;;;;;;;;
1066;841;1403-02-08;pe__ulrich_ottinger_StB_II_841;m;weisend;;;;;;;;;;;;;;;;;;;;;
1067;841;1403-02-08;pe__konrad_ottinger_StB_II_841;m;weisend;;;;;;;;;;;;;;;;;;;;;
1068;841;1403-02-08;pe__konrad_vorlawf_StB_II_841;m;witness;;;;erbere lewte;;;rat_rat-wien;;;;;;;;;;;;;;
1069;841;1403-02-08;pe__konrad_ynnawer_StB_II_841;m;witness;;;;erbere lewte;;;rat_rat-wien_rat-wien-aussen;;;;;;;;;;;;;;
1070;841;1403-02-08;pe__heinrich_ottinger_StB_II_841;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1071;842;1403-02-08;pe__hermann_enczenuelder_StB_II_842;m;weisend;;;;;;;;;;;;;;;;;;;;;
1072;842;1403-02-08;pe__paul_wagendrussel_StB_I_479;m;witness;;;;erbere lewte;;;;;;;QGE Uhlirz 1 583_Uhlirz 2 513;;;;;;;;;;
1073;842;1403-02-08;pe__simon_tolfues_StB_II_842;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1074;842;1403-02-08;pe__hawsfraw_hermann_enczenuelder_StB_II_842;f;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1075;842;1403-02-08;pe__vater_hawsfraw_hermann_enczenuelder_StB_II_842;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1076;842;1403-02-08;pe__phanczagel_StB_II_842;m;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1077;842;1403-02-08;pe__hawsfraw_phanczagel_StB_II_842;f;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1078;842;1403-02-08;pe__mutter_hawsfraw_phanczagel_StB_II_842;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1079;843;1403-02-10;pe__niklas_wagraymer_StB_II_843;m;weisend;;;;;;;;;;;;;;;;;;;;;
1080;843;1403-02-10;pe__ulrich_messer_StB_II_843;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1081;843;1403-02-10;pe__otto_in_der_kirchgasse_StB_II_843;m;witness;;;;erbere lewte;;;;von Checzleinstorff;;;;;;;;;;;;;
1082;843;1403-02-10;pe__thomas_StB_II_843;m;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
1083;843;1403-02-10;pe__helena_StB_II_843;f;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
1084;843;1403-02-10;pe__dietrich_pasman_StB_II_822;m;gewiesen/other;dead;;;;;;;von Checzleinstorff;;;;;;;;;;;;;
1085;843;1403-02-10;pe__kunigunde_StB_II_843;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1086;843;1403-02-10;pe__niklas_aus_der_newen_melgrub_StB_II_817;m;gewiesen/other;dead;;;;;kamerchnecht;;;herczog Albrechts;;;;;;;;;;;;
1087;844;1403-02-10;pe__niklas_wagraymer_StB_II_843;m;weisend;;;;;;;;;;;;;;;;;;;;;
1088;844;1403-02-10;pe__berthold_han_StB_II_822;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1089;844;1403-02-10;pe__johann_gair_StB_II_822;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1090;844;1403-02-10;pe__kunigunde_StB_II_843;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1091;844;1403-02-10;pe__niklas_aus_der_newen_melgrub_StB_II_817;m;gewiesen/other;dead;;;;;kamerchnecht;;;herczog Albrechts;;;;;;;;;;;;
1092;849;1403-10-13;pe__niklas_weber_StB_II_849;m;weisend;;;;;;;;;;;;;;;;;;;;;
1093;849;1403-10-13;pe__niklas_richter_StB_II_849;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1094;849;1403-10-13;pe__martin_fidler_StB_II_849;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1095;849;1403-10-13;pe__stephan_webder_StB_II_849;m;gewiesen;;;;;;;;in der Chrembserstrazz ze Wienn;;;;;;;;;;;;;
1096;851;1403-10-13;pe__gilg_messrer_StB_II_851;m;weisend;;;;;;;;;;;;;;;;;;;;;
1097;851;1403-10-13;pe__johann_payneinn_StB_II_851;m;witness;;;;erbere lewte;gurtler;;;;;;;;;;;;;;;;
1098;851;1403-10-13;pe__johann_trappenfus_StB_II_851;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1099;851;1403-10-13;pe__elisabeth_schaidnagelin_StB_II_851;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1100;851;1403-10-13;pe__siegfried_schaidnagel_StB_II_851;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1101;857;1403-03-26;pe__augustin_StB_II_857;m;weisend;;;;;;;;;;;;;;;;;;;;;
1102;857;1403-03-26;pe__ulrich_hertl_StB_II_857;m;witness;;;;erbere lewte;;;rat_rat-wien_rat-wien-aussen;;;;;;;;;;;;;;
1103;857;1403-03-26;pe__niklas_von_chrems_StB_II_857;m;witness;;;;erbere lewte;vascziecher;;;;;;;;;;;;;;;;
1104;857;1403-03-26;pe__niklas_von_ebenfurt_StB_II_857;m;gewiesen;dead;;;;;;;bey Stubentor ze Wienn;;;;;;;;;;;;;
1105;858;1403-03-26;pe__stephan_cholb_StB_II_858;m;weisend;;;;;;;;;;;;;;;;;;;;;
1106;858;1403-03-26;pe__clemens_vasczieher_StB_II_858;m;weisend;;;;;;;;;;;;;;;;;;;;;
1107;858;1403-03-26;pe__niklas_hartmanns_sohn_StB_II_858;m;witness;;;;erbere lewte;priester;;;;;;;;;;;;;;;;
1108;858;1403-03-26;pe__hartmann_StB_II_858;m;witness/other;;;;;;;;;;;;;;;;;;;;;
1109;858;1403-03-26;pe__ulrich_nagel_StB_II_858;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1110;858;1403-03-26;pe__kunigunde_vasczieherin_StB_II_858;f;gewiesen;;;;;;;;;;;FRAU OHNE MANN;;;;;;;;;;
1111;858;1403-03-26;pe__kolomann_cholb_StB_II_858;m;gewiesen;dead;;;ersamen herren maister;;;;;;;;;;;;;;;;;
1112;860;1403-05-01;pe__johann_murr_StB_I_310;m;weisend;;;;;;;;von lnczesdorff;;;;;;;;;;;;;
1113;860;1403-05-01;pe__stephan_wagner_StB_II_860;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1114;860;1403-05-01;pe__johann_froschl_StB_II_860;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1115;860;1403-05-01;pe__heinrich_ramler_StB_II_860;m;witness;;;;erbere lewte;;;;von Ynczestorff,;;;;;;;;;;;;;
1116;860;1403-05-01;pe__niklas_hekchel_StB_II_860;m;gewiesen;;;;;sattler;;;von der Newnstat;;;;;;;;;;;;;
1117;861;1403-05-01;pe__wolfhard_furman_StB_II_861;m;weisend;;;;;;;;;;;;;;;;;;;;;
1118;861;1403-05-01;pe__elisabeth_mullnerin_StB_II_861;f;weisend;;;;;;;;;;;;;;;;;;;;;
1119;861;1403-05-01;pe__ulrich_mullner_StB_II_861;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1120;861;1403-05-01;pe__peter_messrer_StB_II_861;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1121;861;1403-05-01;pe__konrad_slosser_StB_II_736;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1122;861;1403-05-01;pe__philipp_furer_StB_II_861;m;gewiesen;;;;;;;;auf der Widern;;;;;;;;;;;;;
1123;861;1403-05-01;pe__margarethe_furerin_StB_II_861;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1124;871;1403-05-05;pe__agnes_weinreichin_StB_II_871;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1125;871;1403-05-05;pe__stephan_weinreich_StB_II_871;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1126;871;1403-05-05;pe__niklas_zerrer_StB_II_871;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1127;871;1403-05-05;pe__siegfried_legenwein_StB_II_871;m;witness;;;;erbere lewte;;;;von Nustorff;;;;;;;;;;;;;
1128;871;1403-05-05;pe__stephan_drescher_StB_II_871;m;gewiesen;;;;;;;;;;;inner lanndes nicht ist;;;;;;;;;;
1129;874;1403-05-26;pe__katharina_hagerin_StB_II_874;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1130;874;1403-05-26;pe__wilhelm_hager_StB_II_874;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1131;874;1403-05-26;pe__bernhard_tuchbraytter_StB_II_874;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1132;874;1403-05-26;pe__andreas_chunringer_StB_II_874;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1133;874;1403-05-26;pe__konrad_rymer_StB_II_874;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1134;874;1403-05-26;pe__gerung_hinkcher_StB_II_874;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1135;874;1403-05-26;pe__georg_hinkcher_StB_II_874;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1136;875;1403-05-26;pe__peter_weynstokch_StB_II_875;m;weisend;;;;;;;;;;;;;;;;;;;;;
1137;875;1403-05-26;pe__siegfried_staynhaws_StB_II_875;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1138;875;1403-05-26;pe__andreas_polczl_StB_II_875;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1139;875;1403-05-26;pe__friedrich_payr_StB_II_875;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1140;875;1403-05-26;pe__thomas_weynstokch_StB_II_875;m;gewiesen;dead;;;;;;;von Otakchring;;;;;;;;;;;;;
1141;884;1403-06-26;pe__anna_slurkkerin_StB_II_884;f;weisend;;;;;;;;;;;;;;;;;;;;;
1142;884;1403-06-26;pe__niklas_slurkker_StB_II_884;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1143;884;1403-06-26;pe__konrad_stawder_StB_II_884;m;weisend;;;;;;;;;;;;;;;;;;;;;
1144;884;1403-06-26;pe__niklas_hewler_StB_I_422;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1145;884;1403-06-26;pe__peter_messrer_StB_II_861;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1146;884;1403-06-26;pe__niklas_stawder_StB_II_884;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1147;884;1403-06-26;pe__margarethe_stawderin_StB_II_884;f;gewiesen/other;;;;;;;;;;;;;;;;;;;;;
1148;885;1403-06-30;pe__margarethe_goldslacherin_StB_II_885;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1149;885;1403-06-30;pe__jakob_goldslacher_StB_II_885;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1150;885;1403-06-30;pe__kolomann_grozzhoren_StB_II_885;m;witness;;;;erbere lewte;;;;ze Pechlarn;;;;;;;;;;;;;
1151;885;1403-06-30;pe__heinrich_grossherren_StB_II_885;m;witness;;;;erbere lewte;;;;ze Pechlarn;;;;;;;;;;;;;
1152;885;1403-06-30;pe__konrad_chukchinger_StB_II_885;m;witness;;;;erbere lewte;;;;ze Pechlarn;;;;;;;;;;;;;
1153;885;1403-06-30;pe__peter_pintenschuch_StB_II_885;m;witness;;;;erbere lewte;;;;von Spicz;;;;;;;;;;;;;
1154;885;1403-06-30;pe__martin_werdung_StB_II_885;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1155;885;1403-06-30;pe__erasmus_werdung_StB_II_885;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1156;885;1403-06-30;pe__georg_werdung_StB_II_885;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1157;885;1403-06-30;pe__dungl_werdung_StB_II_885;m;gewiesen;dead;;;;;;;von Stain;;;;;;;;;;;;;
1158;886;1403-07-03;pe__simon_StB_II_886;m;weisend;;;;bruder;;;;;geistleichen herren chloster dacz den predigern ze Rab;;;;;;;;;;;;
1159;886;1403-07-03;pe__andreas_rise_StB_II_886;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1160;886;1403-07-03;pe__michael_eisnein_StB_II_886;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1161;886;1403-07-03;pe__konrad_gukl_StB_II_886;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1162;886;1403-07-03;pe__margarethe_murratin_StB_II_886;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1163;886;1403-07-03;pe__johann_murrat_StB_II_886;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1164;887;1403-07-05;pe__johann_zimerman_StB_II_887;m;weisend;;;;;;;;;;;;;;;;;;;;;
1165;887;1403-07-05;pe__agnes_seueldin_StB_II_887;f;weisend;;;;;;;;;;;;;;;;;;;;;
1166;887;1403-07-05;pe__georg_seueld_StB_II_887;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1167;887;1403-07-05;pe__andreas_wenig_StB_II_887;m;witness;;;;erbere lewte;;;;;;;dem Wenigen am Hof;;;;;;;;;;
1168;887;1403-07-05;pe__peter_mader_StB_II_887;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1169;887;1403-07-05;pe__ulrich_elteys_StB_II_887;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1170;887;1403-07-05;pe__margarethe_elteysin_StB_II_887;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1171;888;1403-07-05;pe__margarethe_rymerin_StB_II_888;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1172;888;1403-07-05;pe__wisent_rymer_StB_II_888;m;weisend/other;;;;;rymer;;;;;;;;;;;;;;;;
1173;888;1403-07-05;pe__niklas_weyss_StB_II_888;m;witness;;;;erbere lewte;rymer;;;;;;;;;;;;;;;;
1174;888;1403-07-05;pe__konrad_rymer_StB_II_874;m;witness;;;;erbere lewte;rymer;;;;;;;;;;;;;;;;
1175;888;1403-07-05;pe__katharina_seuberleichin_StB_II_888;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1176;888;1403-07-05;pe__stephan_seuberleich_StB_II_888;m;gewiesen/other;dead;;;;rymer;;;;;;;;;;;;;;;;
1177;893;1403-07-21;pe__georg_parlir_StB_II_893;m;weisend;;;;;;;;von Paden;;;;;;;;;;;;;
1178;893;1403-07-21;pe__simon_guster_StB_II_893;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1179;893;1403-07-21;pe__jakob_pazz_StB_II_893;m;witness;;;;erbere lewte;;;;von Paden;;;;;;;;;;;;;
1180;893;1403-07-21;pe__johann_fleischhakcher_StB_II_893;m;gewiesen;dead;;;;;;;von Sibenbrunn;;;;;;;;;;;;;
1181;895;1403-07-21;pe__anna_heinerlin_StB_II_895;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1182;895;1403-07-21;pe__haymbrang_heinerl_StB_II_895;m;weisend/other;dead;;;;;;;;;;;;;;;;;;;;
1183;895;1403-07-21;pe__konrad_smyd_StB_II_895;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1184;895;1403-07-21;pe__ulrich_hayd_StB_II_719;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1185;895;1403-07-21;pe__elisabeth_schremslin_StB_II_895;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1186;895;1403-07-21;pe__johann_schremsl_StB_II_895;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1187;905;1403-09-13;pe__katharina_kochin_StB_II_905;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1188;905;1403-09-13;pe__andreas_koch_StB_II_655;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1189;905;1403-09-13;pe__johann_neuer_StB_II_905;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1190;905;1403-09-13;pe__wilhelm_sneyder_StB_II_905;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1191;905;1403-09-13;pe__friedrich_polan_StB_II_905;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1192;905;1403-09-13;pe__christine_gastgebinn_StB_II_905;f;gewiesen;dead;;;fraw;;;;;;;FRAU OHNE MANN;;;;;;;;;;
1193;905;1403-09-13;pe__katharina_pepplerin_StB_II_830;f;gewiesen/other;dead;;;fraw;;;;;;;FRAU OHNE MANN;;;;;;;;;;
1194;907;1403-09-17;pe__barbara_wayczin_StB_II_907;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
1195;907;1403-09-17;pe__jakob_waycz_StB_II_907;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1196;907;1403-09-17;pe__heinrich_eysner_StB_II_907;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1197;907;1403-09-17;pe__konrad_von_newnburg_StB_II_907;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1198;907;1403-09-17;pe__agnes_floczerin_StB_II_907;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
1199;907;1403-09-17;pe__helbenweig_floczer_StB_II_907;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1200;914;1403-11-20;pe__bernhard_deutscherr_StB_II_914;m;weisend;;;;erber herr_bruder;;;pfarrer;ze Frydaw;Dewtschherren orden;;;;;;;;;;;;
1201;914;1403-11-20;pe__jakob_baumgartner_StB_II_914;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1202;914;1403-11-20;pe__pilgrim_hetler_StB_I_294;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1203;914;1403-11-20;pe__erhard_ratgeb_StB_II_914;m;gewiesen;dead;;;;;;;auf der Wydem ze Wienn;;;;;;;;;;;;;
1204;916;1403-12-04;pe__johann_tonigl_StB_II_916;m;weisend;;;;;;;;;;;;;;;;;;;;;
1205;916;1403-12-04;pe__reicher_tonigl_StB_II_916;m;weisend;;;;;;;;;;;;;;;;;;;;;
1206;916;1403-12-04;pe__margarethe_chlempfleinin_StB_II_916;f;weisend;;;;;;;;;;;;;;;;;;;;;
1207;916;1403-12-04;pe__niklas_chempflein_StB_II_916;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1208;916;1403-12-04;pe__peter_gmach_StB_II_814;m;witness;;;;;pynter;;;;;;;;;;;;;;;;
1209;916;1403-12-05;pe__konrad_messrer_StB_II_916;m;witness;;;;;;;;;;;;;;;;;;;;;
1210;916;1403-12-04;pe__niklas_tonigl_StB_II_916;m;witness;dead;;;;;;;;;;;;;;;;;;;;
1211;916;1403-12-04;pe__ulrich_tonigl_StB_II_916;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
1212;927;1404-01-15;pe__katharina_von_steyr_StB_I_99;f;weisend;;;;;;;;;;;;;;;;;;;;;
1213;927;1404-01-15;pe__heinrich_von_steyr_StB_I_99;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1214;927;1404-01-15;pe__martin_pawr_StB_II_927;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1215;927;1404-01-15;pe__ulrich_prunner_StB_II_927;m;witness;;;;erbere lewte;;;;von Wering;;;;;;;;;;;;;
1216;927;1404-01-15;pe__stephan_lantschreiber_ii_StB_II_927;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1217;927;1404-01-15;pe__stephan_lantschreiber_i_StB_II_927;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1218;935;1404-02-16;pe__michael_chuntter_ii_StB_I_538;m;weisend;;;;;;;;;;;;;;;;;;;;;
1219;935;1404-02-16;pe__martin_chuntter_StB_II_935;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1220;935;1404-02-16;pe__thomas_smyd_StB_II_935;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1221;935;1404-02-16;pe__elisabeth_maderin_StB_I_538;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
1222;935;1404-02-16;pe__niklas_mader_StB_I_538;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1223;935;1404-02-16;pe__michael_chuntter_StB_I_538;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
1224;935;1404-02-16;pe__katharina_chuntterin_StB_I_538;f;weisend;;;jungfrau;;;;;;;;;;;;;;;;;;
1225;935;1404-02-16;pe__stephan_chuntter_StB_II_935;m;weisend/rep;;;;;;;;;;;inner lanndes nicht ist;;;;;;;;;;
1226;939;1404-02-21;pe__ulrich_selemater_StB_II_939;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1227;939;1404-02-21;pe__johann_hannsgraf_StB_I_40;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
1228;939;1404-02-21;pe__anna_chetnerinn_StB_II_939;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
1229;939;1404-02-21;pe__jakob_chetner_StB_II_939;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
1230;939;1404-02-21;pe__niklas_von_eslarn_StB_I_509;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
1231;939;1404-02-21;pe__johann_von_eslarn_StB_I_450;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
