ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
46;44;1396-03-14;pe__katharina_von_weidhofen_StB_I_44;f;weisend;;;;;;;;;;;;;;;;;;;;;
47;44;1396-03-14;pe__andreas_von_weidhofen_StB_I_44;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
48;44;1396-03-14;pe__ulrich_muelich_StB_I_44;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
49;44;1396-03-14;pe__hermann_jewchen_StB_I_44;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
50;44;1396-03-14;pe__heinrich_chrewzzenczeler_StB_I_44;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
51;54;1396-04-29;pe__hermann_von_eslarn_StB_I_54;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
52;54;1396-04-29;pe__johann_zink_StB_I_54;m;weisend;;;;;;;;;;;;;;;;;;;;;
53;54;1396-04-29;pe__stephan_leyttner_StB_I_54;m;witness;;;;erbere lewte_her;;;;;;;;;;;;;;;;;
54;54;1396-04-29;pe__niklas_schermiczer_StB_I_54;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
55;54;1396-04-29;pe__niklas_weyspacher_StB_I_54;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
56;54;1396-04-29;pe__gertrud_hermannin_von_eslarn_StB_I_54;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
57;54;1396-04-29;pe__katharina_zinkin_StB_I_54;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
58;54;1396-04-29;pe__stephan_frawnschuchel_StB_I_54;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
59;59;1396-06-06;pe__margarethe_fleischakcherin_StB_I_59;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
60;59;1396-06-06;pe__heinrich_fleischakcher_StB_I_59;m;weisend/other;;;;;fleischhacker;;;;;;;;;;;;;;;;
61;59;1396-06-06;pe__gumpendorfer_StB_I_59;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
62;59;1396-06-06;pe__meinhard_olmunczer_StB_I_59;m;witness;;;;erbere lewte_buerger_buerger-wien;fleischhacker;;;;;;;;;;;;;;;;
63;59;1396-06-06;pe__rudolf_lupan_StB_I_59;m;witness;;;;erbere lewte_buerger_buerger-wien;fleischhacker;;;;;;;;;;;;;;;;
64;59;1396-06-06;pe__klara_von_ottental_StB_I_59;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
