ID,nr,date,persTag,sex,fn_role
84,73,1396-08-17,pe__margarethe_apothekerin_StB_I_73,f,gewiesen
85,73,1396-08-17,pe__thomas_apotheker_StB_I_73,m,gewiesen/other
86,75,1396-08-29,pe__kunigunde_zymmermanin_StB_I_75,f,weisend
87,75,1396-08-29,pe__ulrich_zymmerman_StB_I_75,m,weisend/other
88,75,1396-08-29,pe__konrad_chnarre_von_ottakring_StB_I_75,m,witness
89,75,1396-08-29,pe__hamman_zymmerman_von_steyr_StB_I_75,m,witness
90,75,1396-08-29,pe__heinrich_peugenslag_StB_I_75,m,gewiesen
91,77,1396-08-31,pe__otto_maydwiser_von_lyncz_StB_I_77,m,weisend
92,77,1396-08-31,pe__stephan_frawndorffer_StB_I_77,m,witness
93,77,1396-08-31,pe__niklas_kamrer_StB_I_77,m,witness
94,77,1396-08-31,pe__barbara_maydwiserin_StB_I_77,f,gewiesen
95,77,1396-08-31,pe__jakob_chetner_StB_I_7,m,gewiesen
96,77,1396-08-31,pe__konrad_chetner_StB_I_7,m,gewiesen/other
97,78,1396-08-31,pe__niklas_kamrer_StB_I_77,m,gewiesen
98,78,1396-08-31,pe__paul_holczkewffel_StB_I_78,m,witness
99,78,1396-08-31,pe__stephan_leyttner_StB_I_54,m,witness
100,78,1396-08-31,pe__katharina_chettnerin_StB_I_78,f,gewiesen
101,78,1396-08-31,pe__jakob_chetner_StB_I_7,m,gewiesen/other
102,79,1396-08-31,pe__jakob_von_voyczperkch_StB_I_79,m,weisend
103,79,1396-08-31,pe__stephan_frauendorfer_StB_I_7,m,witness
104,79,1396-08-31,pe__niklas_chamrer_StB_I_77,m,witness
105,79,1396-08-31,pe__kind_jakob_von_voyczperkch_StB_I_79,m,gewiesen
106,79,1396-08-31,pe__jakob_chetner_StB_I_7,m,gewiesen
107,79,1396-08-31,pe__konrad_chetner_StB_I_7,m,gewiesen/other
108,80,1396-08-31,pe__johann_kamrer_StB_I_80,m,weisend
109,80,1396-08-31,pe__heinrich_kamrer_StB_I_80,m,weisend/other
110,80,1396-08-31,pe__stephan_frauendorfer_StB_I_7,m,witness
111,80,1396-08-31,pe__niklas_chamrer_StB_I_77,m,witness
112,80,1396-08-31,pe__katharina_chettnerin_StB_I_78,f,gewiesen
113,80,1396-08-31,pe__jakob_chetner_StB_I_7,m,gewiesen/other
114,94,1396-12-02,pe__anna_pechssingerin_StB_I_94,f,weisend
115,94,1396-12-02,pe__niklas_pechssinger_StB_I_94,m,weisend/other
116,94,1396-12-02,pe__johann_edelmann_von_honestorf_StB_I_94,m,witness
117,94,1396-12-02,pe__otto_von_honestorf_StB_I_94,m,witness
118,94,1396-12-02,pe__huetter_von_honestorf_StB_I_94,m,witness/other
119,94,1396-12-02,pe__agnes_champphshiltinn_StB_I_94,f,gewiesen
120,99,1397-01-13,pe__katharina_von_steyr_StB_I_99,f,weisend
121,99,1397-01-13,pe__heinrich_von_steyr_StB_I_99,m,weisend/other
122,99,1397-01-13,pe__stephan_von_suefring_StB_I_99,m,witness
123,99,1397-01-13,pe__niklas_tuetalso_von_wering_StB_I_99,m,witness
124,99,1397-01-13,pe__konrad_pekch_StB_I_99,m,gewiesen
125,99,1397-01-13,pe__anna_lantschreiberin_StB_I_99,f,gewiesen
126,99,1397-01-13,pe__stephan_lantschreiber_StB_I_99,m,gewiesen/other
127,118,1397-02-17,pe__martin_swebel_StB_I_118,m,weisend
128,118,1397-02-17,pe__katharina_rebleinin_StB_I_118,f,weisend
129,118,1397-02-17,pe__niklas_reblein_StB_I_118,m,weisend/other
130,118,1397-02-17,pe__heinrich_dawcher_StB_I_118,m,witness
131,118,1397-02-17,pe__johann_paldweyn_StB_I_118,m,witness
132,118,1397-02-17,pe__peter_suzzprot_StB_I_118,m,witness
133,118,1397-02-17,pe__niklas_von_der_igla_StB_I_118,m,witness
134,118,1397-02-17,pe__katharina_sweblin_StB_I_118,f,gewiesen
135,118,1397-02-17,pe__anna_sweblin_StB_I_118,f,gewiesen
136,118,1397-02-17,pe__diemut_reblin_StB_I_118,f,gewiesen
137,118,1397-02-17,pe__johann_lederer_StB_I_118,m,gewiesen/other
138,118,1397-02-17,pe__peter_ledrer_StB_I_118,m,gewiesen
139,118,1397-02-17,pe__konrad_ledrer_StB_I_118,m,gewiesen
140,118,1397-02-17,pe__margarethe_ledererin_StB_I_118,f,gewiesen/other
141,134,1397-04-03,pe__katharina_hasendorferin_StB_I_134,f,weisend
142,134,1397-04-03,pe__konrad_hasendorfer_StB_I_134,m,weisend/other
143,134,1397-04-03,pe__jakob_flaschner_StB_I_134,m,witness
144,134,1397-04-03,pe__wolfhard_swayger_StB_I_134,m,witness
145,134,1397-04-03,pe__meinhard_vischer_StB_I_134,m,gewiesen
146,136,1397-04-05,pe__jakob_gunser_StB_I_136,m,weisend
147,136,1397-04-05,pe__berthold_gevater_StB_I_136,m,witness
148,136,1397-04-05,pe__ulrich_rude_StB_I_136,m,witness
149,136,1397-04-05,pe__anna_gunserin_StB_I_136,f,gewiesen
150,136,1397-04-05,pe__niklas_des_hosen_sun_StB_I_136,m,gewiesen
151,136,1397-04-05,pe__niklas_hosen_StB_I_136,m,gewiesen/other
152,136,1397-04-05,pe__brigitta_hosin_StB_I_136,f,gewiesen
153,137,1397-04-05,pe__niklas_chuen_StB_I_137,m,weisend
154,137,1397-04-05,pe__rudolf_payr_StB_I_137,m,witness
155,137,1397-04-05,pe__konrad_cherphenhawbt_StB_I_137,m,witness
156,137,1397-04-05,pe__katharina_chuenin_StB_I_137,f,gewiesen
157,137,1397-04-05,pe__brigitta_hosin_StB_I_136,f,gewiesen
